,AGRFORTFISH,CONSTR,INDUSENRG,MFG,SERV,CumSum_AGR,CumSum_CONS,CumSum_INDUS,CumSum_MFG,CumSum_SERV
0,2.5733132257819347,2.708947577525459,2.4598537095088817,2.4281552073010806,2.2676981253615973,2.5733132257819347,2.708947577525459,2.4598537095088817,2.4281552073010806,2.2676981253615973
1,0.7264319630063724,2.60857746272714,2.098335074886799,1.885711233990104,2.8830841171663915,3.299745188788307,5.317525040252599,4.55818878439568,4.313866441291185,5.150782242527988
2,2.12729360091844,3.457750454802083,4.2824381748519675,4.605390870767111,2.3554879248951743,5.427038789706748,8.775275495054682,8.840626959247647,8.919257312058296,7.506270167423162
3,0.9440415378276645,1.611985864542166,1.2383699059561128,1.127188234586038,1.7040540621141724,6.371080327534412,10.387261359596849,10.07899686520376,10.046445546644334,9.210324229537335
4,1.6752737120433303,1.5816657256968407,1.2167467781260886,1.0962471421874591,1.4335831956530818,8.046354039577743,11.96892708529369,11.295743643329848,11.142692688831794,10.643907425190417
5,10.815275872138375,14.867114150095146,11.709258098223616,10.304994400933829,16.252460351069733,18.86162991171612,26.836041235388834,23.005001741553464,21.447687089765623,26.89636777626015
6,8.277564212825366,20.455429395897372,25.469592476489026,28.04873603518299,22.036656248695273,27.139194124541483,47.2914706312862,48.47459421804249,49.49642312494861,48.93302402495542
7,7.136714015416679,1.185621981055141,1.3377917102055032,1.3224985822198072,2.148594766758719,34.27590813995816,48.477092612341345,49.81238592824799,50.81892170716842,51.08161879171414
8,3.2625435519162846,3.1447211592748263,3.2521072796934862,3.339010105445548,2.2210819281995002,37.53845169187445,51.62181377161617,53.064493207941474,54.15793181261397,53.302700719913645
9,1.7124753489153526,1.1592748259205823,0.9902612330198537,0.9468821975126752,1.3703223507237907,39.250927040789804,52.78108859753675,54.054754440961325,55.104814010126645,54.673023070637434
10,14.616243114697047,11.96746335445288,13.393521421107629,14.189076353291327,11.654772484626534,53.86717015548685,64.74855195198963,67.44827586206895,69.29389036341797,66.32779555526398
11,0.053202340902999745,0.13173577567279346,0.056844305120167186,0.03306034530259117,0.2072659386015663,53.92037249638985,64.88028772766242,67.50512016718912,69.32695070872056,66.53506149386554
12,3.2817443967534574,3.317650502896096,2.8263880181121563,2.625330497490381,5.822215777262182,57.20211689314331,68.19793823055852,70.33150818530127,71.95228120621094,72.35727727112773
13,22.248978955074026,11.145892143947474,11.416454197143853,10.958148145950405,7.563178833226967,79.45109584821734,79.343830374506,81.74796238244512,82.91042935216134,79.9204561043547
14,2.0892919288448693,2.5546285260230435,2.6340647857889237,2.7511293498725484,2.609537811868137,81.54038777706221,81.89845890052904,84.38202716823405,85.66155870203389,82.52999391622284
15,1.0112444947577695,2.0067749827488868,2.076544757924068,2.1581623873299196,1.1674179435640202,82.55163227181998,83.90523388327793,86.45857192615811,87.81972108936381,83.69741185978685
16,12.84296509046398,10.802542709574894,8.898195750609544,8.215665347926228,11.167965930847734,95.39459736228396,94.70777659285282,95.35676767676766,96.03538643729004,94.86537779063458
17,1.5924700686830222,2.9213976538485666,2.0422152560083595,1.6951480128613223,3.0602666722335217,96.98706743096699,97.6291742467014,97.39898293277602,97.73053445015137,97.9256444628681
18,0.28081235574365276,0.47801267172699335,0.42544061302681996,0.40392960350473567,0.33238970171598303,97.26787978671064,98.10718691842838,97.82442354580284,98.1344640536561,98.25803416458409
19,0.6268275804135381,0.4391192522426448,0.6469662138627656,0.7268189759600429,0.4787619513417115,97.89470736712417,98.54630617067103,98.47138975966561,98.86128302961615,98.7367961159258
20,0.9420414498237923,0.6047299416598708,0.7241518634622084,0.37061494785366306,0.5661044143171556,98.83674881694796,99.1510361123309,99.19554162312782,99.23189797746981,99.30290053024295
21,1.1632511830520544,0.8489638876691133,0.80445837687217,0.7681020225302015,0.6970994697570665,100.00000000000001,100.00000000000001,100.0,100.00000000000001,100.00000000000001
