,tara,AGRFORTFISH,CONSTR,INDUSENRG,MFG,SERV,Total,ComparatieMedie
0,AUT,1.35500580061346,7.24659168547178,21.6310617181309,18.4952351081442,69.7673407957838,118.49523510814413,True
1,BEL,0.744605233158537,5.43140252761647,16.5978210819486,13.8327320520902,77.2261711572764,113.83273205209021,False
2,CZE,2.03109674936601,5.59472686300524,27.715245413606,23.1990787215965,64.6589309740227,123.19907872159644,True
3,DNK,0.998084123979668,5.56300942681363,16.6733171250919,13.760824927757,76.7655893241149,113.7608249277571,False
4,FIN,2.64834105823505,7.72841998990409,20.6557753200863,16.9313019136341,68.9674636317746,116.93130191363414,True
5,FRA,1.85039327454515,5.65931002376428,13.1309850539433,10.0174036842761,79.3593567583856,110.01744879491443,False
6,DEU,0.940321313018882,5.51782424605663,24.0344912349508,20.8408174513521,69.5073632059737,120.84081745135211,True
7,GRC,4.43211317343465,1.84353322502394,15.6890582169802,9.90212969262773,78.0352953845612,109.90212969262771,False
8,HUN,3.9643673512106,6.11873567870161,22.5416266546763,20.033428493162,67.3752703154115,120.033428493162,True
9,IRL,1.08072783688155,2.17159261602733,37.9582427377326,36.7564991364989,58.7894368091094,136.75649913624977,True
10,ITA,2.15231267825091,4.98525417933877,20.1051693688048,16.623460583771,72.7572637736056,116.62346058377108,False
11,LUX,0.214950919860132,5.80152057025936,6.55109078047806,5.34551293004001,87.4324377294025,105.34551293004006,False
12,NLD,1.73716566740628,5.25857501796571,15.0218211192765,12.1593728526393,77.9824381953515,112.1593728526393,False
13,POL,2.55662103337329,6.91202447795092,25.1206986590401,19.2217981340119,65.4106558296357,119.22179813401192,True
14,PRT,2.52939336574031,4.81268614848894,17.8889902242964,14.3500262378535,74.7689302614744,114.35002623785354,False
15,SVK,1.95768748198952,6.02777025932449,25.6209188966997,22.1593761574911,66.3936233619863,122.15937615749111,True
16,ESP,2.8889298328113,5.57922053160489,16.9413423312186,12.7609372980494,74.5905073043652,112.76093729804938,False
17,SWE,1.45364795796039,6.71856165142378,18.7964748174078,14.2859475530084,73.031315573208,114.28594755300837,False
18,EST,2.30496283711361,6.69597623004263,19.66160367898,14.508152249679,71.3374572538637,114.50815224967894,False
19,SVN,1.92244746232319,6.1557955048431,26.2543262174885,22.7892086454315,65.6674308175248,122.78920864761109,True
20,LVA,4.68619956220403,5.4922435447167,17.1864488061696,13.6516463422953,72.6351047015926,113.65164295697824,False
21,LTU,3.70858807792724,7.10435678775966,21.214180837652,18.0443666579939,67.9728742966611,118.0443666579939,True
