,AGRFORTFISH,CONSTR,INDUSENRG,MFG,SERV
count,22.0,22.0,22.0,22.0,22.0
mean,2.188998308700171,5.655415053913816,20.317758649757224,16.803148037427412,71.83782988432205
std,1.1870094655169492,1.4048184747918282,6.254153519582597,6.358684243116987,6.295121327893628
min,0.214950919860132,1.84353322502394,6.55109078047806,5.34551293004001,58.7894368091094
25%,1.3796663399501925,5.4466127818915275,16.740323426623576,13.678940988660724,67.5246713107239
50%,1.994392115677765,5.62701844338476,19.883386523892398,15.565806416725,71.98628097772814
75%,2.62541105201961,6.560931048742748,23.661275089882174,19.830520903374474,76.26642455845477
max,4.68619956220403,7.72841998990409,37.9582427377326,36.7564991364989,87.4324377294025
