tara,Medie,Std_err,Covarianta
AUT,23.699047021628825,24.18091552271307,1.020332821849101
BEL,22.76654641041804,27.817944012410056,1.22187807983386
CZE,24.639815744319286,22.302166530082072,0.905127163348364
DNK,22.75216498555142,27.582435349611615,1.2122993731421876
FIN,23.386260382726828,23.672758144425245,1.0122506872415578
FRA,22.003489758982887,28.932205541619496,1.3148916766626972
DEU,24.168163490270423,24.306788915570657,1.0057358692296186
GRC,21.980425938525542,28.42904383084313,1.2933800241338802
HUN,24.006685698632403,22.892970899997977,0.9536081401399831
IRL,27.351299827249953,22.420892385394115,0.8197377282616858
ITA,23.324692116754214,25.62598527409719,1.0986633883878771
LUX,21.06910258600801,33.25685160123122,1.5784655025277199
NLD,22.43187457052786,28.176200939221655,1.256078748596472
POL,23.844359626802383,22.31871808198992,0.9360166694056419
PRT,22.87000524757071,26.573318330085264,1.1619288252200084
SVK,24.43187523149822,22.8524247198086,0.9353528741971737
ESP,22.552187459609875,26.495517363822543,1.1748535440863563
SWE,22.857189510601675,25.791337378407174,1.1283687072045572
EST,22.901630449935787,24.955254009537217,1.0896715002056627
SVN,24.557841729522217,22.56989506610629,0.9190504326352867
LVA,22.730328591395647,25.402306673059055,1.117551229887405
LTU,23.60887333159878,23.122643827264067,0.9794047984626217
