"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","EMPINDUS","MFG","THND_PER","A","2021",109.3,
"LTU","EMPINDUS","MFG","THND_PER","A","2021",226.525,
"AUT","EMPINDUS","SERV","THND_PER","A","2021",3041.6,
"BEL","EMPINDUS","SERV","THND_PER","A","2021",3867,"E"
"CZE","EMPINDUS","SERV","THND_PER","A","2021",3159.35,"B"
"DNK","EMPINDUS","SERV","THND_PER","A","2021",2285.6,
"FIN","EMPINDUS","SERV","THND_PER","A","2021",1922.825,
"FRA","EMPINDUS","SERV","THND_PER","A","2021",21798.97,
"DEU","EMPINDUS","SERV","THND_PER","A","2021",29557.15,
"GRC","EMPINDUS","SERV","THND_PER","A","2021",2881.85,
"HUN","EMPINDUS","SERV","THND_PER","A","2021",2979.075,
"IRL","EMPINDUS","SERV","THND_PER","A","2021",1837.975,
"ITA","EMPINDUS","SERV","THND_PER","A","2021",15632.22,
"LUX","EMPINDUS","SERV","THND_PER","A","2021",278,
"NLD","EMPINDUS","SERV","THND_PER","A","2021",7809.175,
"POL","EMPINDUS","SERV","THND_PER","A","2021",10144.28,
"PRT","EMPINDUS","SERV","THND_PER","A","2021",3500.1,
"SVK","EMPINDUS","SERV","THND_PER","A","2021",1565.825,
"ESP","EMPINDUS","SERV","THND_PER","A","2021",14979.28,
"SWE","EMPINDUS","SERV","THND_PER","A","2021",4104.65,
"EST","EMPINDUS","SERV","THND_PER","A","2021",445.825,"E"
"SVN","EMPINDUS","SERV","THND_PER","A","2021",642.15,
"LVA","EMPINDUS","SERV","THND_PER","A","2021",759.3,
"LTU","EMPINDUS","SERV","THND_PER","A","2021",935,"E"
